Program Name,Cost
program_a24-c8-05,568033400.0
program_a17-c20-01,564861800.0
program_a3-c12-02,512843000.0
program_a13-c15-04,426916500.0
program_a4-c11-08,482192300.0
program_a12-c3-05,698493100.0
program_a10-c24-02,614941800.0
program_a18-c12-05,500619740.0
program_a8-c15-03,619475260.0
program_a14-c11-07,536200670.0
program_a4-c16-01,751624500.0
program_a4-c4-04,717209150.0
program_a17-c27-08,424117400.0
program_a2-c13-06,573870200.0
program_a6-c26-03,556736100.0
program_a16-c21-05,555788400.0
program_a1-c25-09,465549150.0
program_a19-c14-08,385632200.0
program_a15-c10-03,509146000.0
program_a5-c17-05,536742700.0
program_a11-c25-06,468753470.0
program_a19-c13-01,611982100.0
program_a9-c14-07,393267100.0
program_a21-c28-09,427783100.0
program_a12-c13-09,458115840.0
program_a22-c10-03,660328700.0
program_a13-c5-07,529550980.0
program_a5-c2-06,535051330.0
program_a16-c28-09,368438620.0
program_a6-c28-06,378919840.0
program_a21-c21-05,437737440.0
program_a4-c18-04,629965630.0
program_a23-c11-07,406808260.0
program_a20-c27-08,391208320.0
program_a20-c20-01,786709440.0
program_a24-c15-04,517593340.0
program_a7-c29-02,508242050.0
program_a5-c21-04,454309950.0
program_a15-c26-02,506138000.0
program_a15-c7-05,473870720.0
program_a9-c22-06,393769500.0
program_a1-c14-01,607595100.0
program_a11-c13-07,414187300.0
program_a22-c28-07,375222620.0
program_a12-c25-08,502717200.0
program_a12-c22-01,714798140.0
program_a2-c25-07,562507100.0
program_a21-c19-01,592555650.0
program_a16-c17-04,721801700.0
program_a6-c10-02,708985540.0
program_a19-c22-09,388676960.0
program_a1-c13-08,405616100.0
program_a2-c8-03,717891460.0
program_a23-c29-03,447925000.0
program_a8-c23-02,684525200.0
program_a18-c24-04,461614100.0
program_a10-c12-03,603827260.0
program_a14-c27-06,444812260.0
program_a17-c11-09,397506850.0
program_a7-c11-06,419541440.0
program_a20-c18-05,598087940.0
program_a22-c4-02,759389600.0
program_a13-c23-05,396124830.0
program_a3-c24-03,414385950.0
program_a4-c27-09,378507740.0
program_a17-c18-05,439032960.0
program_a24-c23-05,448494300.0
program_a14-c29-03,599961860.0
program_a23-c27-06,423490560.0
program_a2-c6-06,661241500.0
program_a20-c11-09,474310050.0
program_a16-c19-01,796674240.0
program_a21-c17-04,554762560.0
program_a5-c28-08,423256130.0
program_a3-c9-08,499251740.0
program_a22-c26-02,637824200.0
program_a15-c28-07,409429730.0
program_a23-c5-09,463286050.0
program_a10-c2-06,733074600.0
program_a1-c32-05,393586720.0
program_a6-c5-07,660201150.0
program_a17-c30-04,410538080.0
program_a18-c9-03,716576450.0
program_a18-c7-06,597875100.0
program_a11-c4-04,496297540.0
program_a7-c3-05,563529150.0
program_a20-c30-04,458201380.0
program_a19-c8-08,412831200.0
program_a19-c8-09,406820300.0
program_a21-c31-01,533800960.0
program_a7-c3-04,584174140.0
program_a11-c4-05,476457500.0
program_a18-c7-07,579539650.0
program_a20-c30-05,412594140.0
program_a17-c30-05,413646660.0
program_a18-c9-02,751224200.0
program_a16-c31-01,722291700.0
program_a6-c5-06,680374460.0
program_a1-c32-04,390590000.0
program_a10-c2-07,716667200.0
program_a3-c9-09,491116740.0
program_a5-c28-09,428403100.0
program_a23-c2-01,610695600.0
program_a21-c17-05,542360100.0
program_a23-c5-08,473129400.0
program_a15-c28-06,404328400.0
program_a15-c9-01,633545540.0
program_a22-c26-03,565312960.0
program_a24-c23-04,494298900.0
program_a17-c18-04,465188450.0
program_a20-c16-01,761129150.0
program_a20-c11-08,496480160.0
program_a2-c6-07,634378300.0
program_a23-c27-07,427220450.0
program_a14-c29-02,683240500.0
program_a17-c11-08,399025540.0
program_a14-c27-07,413448300.0
program_a4-c20-01,778377000.0
program_a18-c24-05,415153280.0
program_a10-c12-02,671939000.0
program_a8-c23-03,604482700.0
program_a23-c29-02,480676200.0
program_a2-c8-02,775272300.0
program_a4-c27-08,385486200.0
program_a3-c24-02,469357820.0
program_a13-c23-04,419549540.0
program_a22-c4-03,722756540.0
program_a20-c18-04,641212600.0
program_a7-c11-07,404899100.0
program_a17-c16-01,537925000.0
program_a12-c25-09,495315200.0
program_a22-c28-06,383250000.0
program_a19-c25-01,610066200.0
program_a11-c13-06,421059740.0
program_a9-c22-07,394001630.0
program_a15-c7-04,498026720.0
program_a15-c26-03,458575200.0
program_a5-c21-05,433045660.0
program_a1-c13-09,398403550.0
program_a19-c22-08,386837060.0
program_a6-c10-03,652910700.0
program_a16-c17-05,697661200.0
program_a2-c25-06,581965760.0
program_a20-c27-09,381587780.0
program_a23-c11-06,413643550.0
program_a4-c18-05,586753900.0
program_a24-c6-01,761983740.0
program_a7-c29-03,462088670.0
program_a24-c15-05,480272900.0
program_a16-c28-08,368265950.0
program_a5-c19-01,586699500.0
program_a5-c2-07,521458240.0
program_a13-c5-06,546371650.0
program_a22-c10-02,715340300.0
program_a21-c21-04,460134800.0
program_a6-c28-07,372951140.0
program_a19-c14-09,385577380.0
program_a1-c25-08,470129860.0
program_a16-c21-04,600449800.0
program_a6-c26-02,630092500.0
program_a12-c14-01,717944100.0
program_a2-c13-07,547200300.0
program_a12-c13-08,472665020.0
program_a21-c28-08,422690050.0
program_a1-c22-01,608048000.0
program_a9-c14-06,395267230.0
program_a11-c25-07,464664640.0
program_a5-c17-04,549056700.0
program_a15-c10-02,554371900.0
program_a4-c11-09,459593800.0
program_a13-c15-05,403050720.0
program_a3-c12-03,458441540.0
program_a24-c8-04,592756860.0
program_a7-c27-06,408623650.0
program_a17-c27-09,428415500.0
program_a4-c4-05,686876350.0
program_a14-c11-06,568879000.0
program_a8-c15-02,693190000.0
program_a10-c24-03,534058340.0
program_a12-c3-04,719566660.0
program_a18-c12-04,541866700.0
program_a21-c3-02,604273300.0
program_a17-c8-02,517966000.0
program_a9-c4-06,472747870.0
program_a20-c2-09,721652000.0
program_a9-c32-02,430473630.0
program_a16-c9-09,616663040.0
program_a12-c32-05,379610600.0
program_a8-c2-04,804450300.0
program_a4-c30-04,444669630.0
program_a17-c6-07,429404300.0
program_a24-c4-04,660534460.0
program_a13-c19-05,451025950.0
program_a20-c22-05,491429000.0
program_a24-c10-09,456898300.0
program_a10-c28-03,509501860.0
program_a8-c19-02,742126500.0
program_a23-c13-03,479380400.0
program_a4-c8-05,602527000.0
program_a1-c29-08,411535970.0
program_a19-c18-09,391135900.0
program_a21-c23-01,564097400.0
program_a12-c18-01,745649100.0
program_a21-c24-08,397831700.0
program_a22-c12-07,451567360.0
program_a13-c7-03,552511600.0
program_a11-c29-07,433263840.0
program_a9-c18-06,423407650.0
program_a16-c24-08,363695680.0
program_a19-c11-05,441968930.0
program_a11-c27-02,481186880.0
program_a9-c16-03,419565220.0
program_a1-c20-04,429683040.0
program_a13-c9-06,541298200.0
program_a15-c12-07,385962240.0
program_a5-c15-01,557495550.0
program_a5-c12-08,390450430.0
program_a6-c24-07,369623700.0
program_a16-c23-01,766535040.0
program_a2-c11-02,772906940.0
program_a12-c16-04,484019230.0
program_a13-c10-09,390073000.0
program_a14-c13-03,703853500.0
program_a4-c14-05,509431870.0
program_a18-c10-01,769966660.0
program_a12-c1-01,812140800.0
program_a10-c26-06,434065900.0
program_a8-c17-07,671684800.0
program_a12-c6-08,554530750.0
program_a18-c17-08,619021600.0
program_a3-c10-06,421722530.0
program_a24-c19-05,531771360.0
program_a7-c25-03,528469540.0
program_a17-c22-05,397643740.0
program_a24-c31-04,423832770.0
program_a9-c6-03,520579170.0
program_a16-c5-09,653097600.0
program_a19-c30-08,416129760.0
program_a20-c7-05,658763260.0
program_a9-c8-06,421858100.0
program_a9-c30-07,422240540.0
program_a8-c7-08,591817600.0
program_a13-c31-04,402570180.0
program_a8-c31-03,523132130.0
program_a1-c3-03,625259300.0
program_a17-c4-02,562432500.0
program_a4-c32-01,702721000.0
program_a6-c9-06,640410560.0
program_a7-c6-08,434418900.0
program_a7-c1-01,683901600.0
program_a18-c5-02,778401700.0
program_a11-c8-05,427286460.0
program_a6-c7-03,690630200.0
program_a1-c30-01,572384000.0
program_a19-c4-09,452417760.0
program_a12-c29-09,398038820.0
program_a21-c12-09,392033540.0
program_a19-c29-01,579550600.0
program_a22-c24-06,393107360.0
program_a2-c29-06,458412600.0
program_a24-c26-08,392154140.0
program_a23-c25-02,526716160.0
program_a2-c4-02,827184100.0
program_a18-c28-05,397441920.0
program_a14-c3-03,835383360.0
program_a24-c21-01,734488800.0
program_a20-c14-04,565069250.0
program_a22-c8-03,654148860.0
program_a3-c28-02,465715620.0
program_a18-c21-09,426978370.0
program_a22-c6-06,606906000.0
program_a13-c21-01,631836600.0
program_a3-c26-07,407246430.0
program_a17-c14-04,413590240.0
program_a7-c13-02,554947840.0
program_a13-c26-08,399975680.0
program_a4-c22-04,529858530.0
program_a14-c25-02,745905000.0
program_a8-c21-06,533207740.0
program_a10-c10-07,516210560.0
program_a15-c2-08,525955140.0
program_a5-c24-09,401893400.0
program_a3-c5-09,482706340.0
program_a6-c12-06,467687550.0
program_a12-c20-05,473794880.0
program_a2-c27-03,605712600.0
program_a23-c9-08,482643070.0
program_a16-c12-09,420128300.0
program_a1-c16-05,384450020.0
program_a9-c20-02,503728400.0
program_a11-c11-03,479851140.0
program_a19-c27-04,428883520.0
program_a15-c5-01,641400960.0
program_a15-c24-06,384332100.0
program_a8-c21-04,614442700.0
program_a18-c26-02,629078800.0
program_a10-c10-05,574846200.0
program_a4-c22-06,435177500.0
program_a7-c14-09,384743650.0
program_a17-c14-06,395507200.0
program_a13-c21-03,520780640.0
program_a22-c6-04,665013300.0
program_a3-c26-05,414080900.0
program_a14-c22-09,379212740.0
program_a5-c23-02,485812160.0
program_a15-c24-04,390843300.0
program_a15-c5-03,585020350.0
program_a1-c16-07,376771740.0
program_a3-c2-02,628141500.0
program_a19-c27-06,409394720.0
program_a11-c11-01,572316160.0
program_a2-c20-08,427553540.0
program_a12-c20-07,407630000.0
program_a2-c27-01,793717700.0
program_a16-c15-02,679040260.0
program_a6-c12-04,542432900.0
program_a11-c16-08,402104000.0
program_a9-c27-09,426094140.0
program_a21-c15-02,494566880.0
program_a2-c29-04,538871200.0
program_a22-c24-04,471913000.0
program_a1-c18-02,584411970.0
program_a19-c29-03,462333730.0
program_a22-c8-01,770884600.0
program_a20-c14-06,489942430.0
program_a24-c21-03,607156160.0
program_a10-c19-09,428309340.0
program_a8-c28-08,367974050.0
program_a2-c3-09,714202240.0
program_a23-c22-09,408425900.0
program_a14-c4-08,650684800.0
program_a14-c3-01,880036030.0
program_a18-c28-07,373720770.0
program_a17-c32-02,426638530.0
program_a10-c31-08,378271400.0
program_a11-c8-07,407970140.0
program_a10-c7-09,559526660.0
program_a19-c3-02,629898430.0
program_a1-c30-03,422806600.0
program_a6-c7-01,785262200.0
program_a6-c9-04,688021060.0
program_a11-c6-02,540102660.0
program_a20-c32-02,577307970.0
program_a18-c2-09,677730100.0
program_a9-c8-04,455469400.0
program_a9-c30-05,411900960.0
program_a12-c30-02,561205400.0
program_a20-c7-07,608369540.0
program_a4-c32-03,468277000.0
program_a1-c3-01,678172350.0
program_a8-c31-01,735918340.0
program_a21-c8-09,401656400.0
program_a3-c31-09,424381440.0
program_a13-c31-06,401478850.0
program_a1-c4-08,470981470.0
program_a17-c3-09,473285860.0
program_a24-c31-06,386309630.0
program_a20-c9-02,793802600.0
program_a16-c2-02,829023740.0
program_a9-c6-01,602807940.0
program_a12-c16-06,421918000.0
program_a6-c24-05,414992220.0
program_a16-c23-03,590532000.0
program_a9-c11-08,399112930.0
program_a11-c20-09,393452400.0
program_a15-c12-05,400763200.0
program_a5-c15-03,440009570.0
program_a13-c9-04,576632100.0
program_a19-c11-07,405429300.0
program_a1-c20-06,381992130.0
program_a9-c16-01,545117200.0
program_a2-c16-09,412555680.0
program_a7-c25-01,610758140.0
program_a17-c22-07,395665380.0
program_a24-c19-07,463884770.0
program_a3-c10-04,472401000.0
program_a13-c17-02,634587300.0
program_a14-c14-08,452516500.0
program_a10-c26-04,510640640.0
program_a18-c10-03,651721300.0
program_a8-c17-05,710106240.0
program_a14-c13-01,832260100.0
program_a4-c14-07,449390660.0
program_a4-c6-02,774968900.0
program_a7-c22-08,385985920.0
program_a4-c8-07,562851200.0
program_a23-c13-01,568273660.0
program_a10-c28-01,707982600.0
program_a3-c19-08,392114270.0
program_a20-c22-07,416186620.0
program_a13-c19-07,404437120.0
program_a24-c17-02,726935040.0
program_a24-c4-06,613013600.0
program_a23-c14-08,401651600.0
program_a11-c29-05,429644800.0
program_a9-c18-04,471170240.0
program_a22-c12-05,510060670.0
program_a13-c7-01,645431740.0
program_a12-c18-03,630306370.0
program_a21-c23-03,441528800.0
program_a5-c7-09,413433120.0
program_a12-c32-07,379811780.0
program_a20-c5-02,820622500.0
program_a5-c31-02,449732200.0
program_a2-c32-08,360503840.0
program_a14-c30-09,364767940.0
program_a4-c30-06,381194300.0
program_a17-c6-05,460841540.0
program_a8-c2-06,770662900.0
program_a21-c4-09,439322240.0
program_a1-c8-08,416040320.0
program_a23-c30-09,442336350.0
program_a9-c4-04,510865540.0
program_a5-c17-06,527111650.0
program_a9-c14-04,416742560.0
program_a1-c22-03,463230430.0
program_a19-c13-02,554533600.0
program_a11-c25-05,475144580.0
program_a6-c21-09,426755300.0
program_a12-c14-03,568799550.0
program_a2-c13-05,608333600.0
program_a16-c21-06,519224260.0
program_a15-c17-09,521212580.0
program_a18-c12-06,467537920.0
program_a12-c3-06,678735550.0
program_a10-c24-01,722266560.0
program_a4-c16-02,645797200.0
program_a14-c11-04,654941600.0
program_a4-c4-07,638621100.0
program_a3-c15-08,388218700.0
program_a17-c20-02,496906700.0
program_a24-c8-06,550671000.0
program_a7-c27-04,428404930.0
program_a13-c15-07,384171680.0
program_a3-c12-01,585069000.0
program_a10-c23-08,384345630.0
program_a8-c12-09,434037500.0
program_a23-c18-08,400878460.0
program_a20-c20-02,701048260.0
program_a24-c15-07,429572160.0
program_a24-c6-03,673135800.0
program_a7-c29-01,580086660.0
program_a14-c18-08,521035870.0
program_a4-c18-07,520458900.0
program_a23-c11-04,448370100.0
program_a6-c28-05,397015600.0
program_a21-c21-06,423219140.0
program_a22-c17-09,614587970.0
program_a13-c5-04,587752600.0
program_a5-c2-05,550071200.0
program_a5-c19-03,490313340.0
program_a7-c11-05,441738500.0
program_a17-c16-03,415744160.0
program_a20-c18-06,562392600.0
program_a22-c4-01,798651800.0
program_a13-c23-06,385550600.0
program_a14-c8-08,568658240.0
program_a8-c24-08,368679230.0
program_a10-c15-09,413997540.0
program_a18-c24-07,370200960.0
program_a8-c23-01,779092700.0
program_a14-c27-05,486679140.0
program_a4-c20-03,614566100.0
program_a22-c3-08,669373200.0
program_a3-c23-09,392234340.0
program_a2-c25-04,642932200.0
program_a12-c22-02,626058430.0
program_a21-c19-02,540445800.0
program_a6-c10-01,771753340.0
program_a16-c17-07,659948800.0
program_a15-c21-08,406144700.0
program_a15-c26-01,576252800.0
program_a5-c21-07,412246850.0
program_a15-c7-06,455140600.0
program_a11-c13-04,451406560.0
program_a19-c25-03,528347500.0
program_a1-c14-02,527766400.0
program_a9-c22-05,397881020.0
program_a22-c28-04,446109920.0
program_a6-c17-08,619871740.0
program_a22-c26-01,731593900.0
program_a15-c9-03,574327360.0
program_a15-c28-04,401827070.0
program_a16-c19-02,729047600.0
program_a23-c2-03,571632000.0
program_a21-c17-07,524918620.0
program_a22-c21-08,455445250.0
program_a23-c27-05,422024670.0
program_a2-c6-05,693439940.0
program_a7-c18-09,390500400.0
program_a20-c16-03,578893500.0
program_a17-c18-06,419631200.0
program_a24-c23-06,414626180.0
program_a7-c30-08,415205920.0
program_a17-c30-07,424622140.0
program_a10-c2-05,750153200.0
program_a1-c32-06,399123360.0
program_a6-c5-04,726922500.0
program_a16-c31-03,508465340.0
program_a11-c32-09,445100320.0
program_a21-c31-03,419677150.0
program_a20-c30-07,375383040.0
program_a11-c4-07,448020540.0
program_a18-c7-05,621540300.0
program_a7-c3-06,544593150.0
program_a20-c30-06,387015650.0
program_a7-c3-07,527315140.0
program_a18-c7-04,651726100.0
program_a11-c4-06,460612100.0
program_a21-c31-02,455498100.0
program_a6-c5-05,702673000.0
program_a1-c32-07,404652380.0
program_a10-c2-04,767775400.0
program_a11-c32-08,440345800.0
program_a16-c31-02,598668100.0
program_a7-c30-09,419329860.0
program_a18-c9-01,791023500.0
program_a17-c30-06,419099330.0
program_a7-c18-08,399826900.0
program_a2-c6-04,730523200.0
program_a23-c27-04,426489280.0
program_a14-c29-01,787675300.0
program_a24-c23-07,392731550.0
program_a17-c18-07,406216500.0
program_a20-c16-02,657160960.0
program_a15-c28-05,400539100.0
program_a15-c9-02,600755800.0
program_a22-c21-09,436426780.0
program_a21-c17-06,532626750.0
program_a23-c2-02,590318660.0
program_a16-c19-03,667505340.0
program_a15-c21-09,402843360.0
program_a16-c17-06,677245200.0
program_a21-c19-03,496949440.0
program_a12-c22-03,554178700.0
program_a2-c25-05,608087600.0
program_a6-c17-09,608872700.0
program_a22-c28-05,404390140.0
program_a1-c14-03,468184500.0
program_a9-c22-04,411618080.0
program_a11-c13-05,432744130.0
program_a19-c25-02,560961540.0
program_a15-c7-07,440711680.0
program_a5-c21-06,419772700.0
program_a10-c15-08,427212300.0
program_a8-c24-09,360258050.0
program_a14-c8-09,557976700.0
program_a13-c23-07,381912700.0
program_a3-c24-01,557456000.0
program_a20-c18-07,532676200.0
program_a17-c16-02,459830100.0
program_a7-c11-04,472394020.0
program_a3-c23-08,390189120.0
program_a22-c3-09,652704960.0
program_a4-c20-02,690403260.0
program_a14-c27-04,538953200.0
program_a10-c12-01,754139400.0
program_a18-c24-06,385905100.0
program_a23-c29-01,540196800.0
program_a2-c8-01,838428400.0
program_a22-c17-08,625789500.0
program_a21-c21-07,414607840.0
program_a6-c28-04,436211360.0
program_a5-c2-04,566639400.0
program_a5-c19-02,534031300.0
program_a22-c10-01,776102300.0
program_a13-c5-05,565683300.0
program_a14-c18-09,497557470.0
program_a24-c6-02,715272300.0
program_a24-c15-06,451295070.0
program_a20-c20-03,625844030.0
program_a23-c11-05,426688500.0
program_a4-c18-06,550783040.0
program_a3-c15-09,388540800.0
program_a4-c4-06,660667840.0
program_a14-c11-05,608066000.0
program_a4-c16-03,567378900.0
program_a18-c12-07,441193400.0
program_a12-c3-07,660404700.0
program_a8-c15-01,782078800.0
program_a23-c18-09,396883740.0
program_a8-c12-08,451846720.0
program_a10-c23-09,373937060.0
program_a13-c15-06,390342720.0
program_a7-c27-05,413439900.0
program_a17-c20-03,445297180.0
program_a24-c8-07,538342600.0
program_a6-c21-08,445390800.0
program_a19-c13-03,509388320.0
program_a11-c25-04,485161440.0
program_a9-c14-05,401621120.0
program_a1-c22-02,526166180.0
program_a15-c10-01,609268700.0
program_a5-c17-07,519508030.0
program_a15-c17-08,526790800.0
program_a6-c26-01,725804860.0
program_a16-c21-07,489014880.0
program_a2-c13-04,652093440.0
program_a12-c14-02,634185900.0
program_a9-c4-05,489759970.0
program_a21-c4-08,448173900.0
program_a17-c8-01,574275700.0
program_a23-c30-08,437751680.0
program_a1-c8-09,409122430.0
program_a21-c3-01,628762050.0
program_a14-c30-08,366864540.0
program_a8-c2-07,754374850.0
program_a17-c6-04,484032770.0
program_a4-c30-07,372787800.0
program_a20-c5-03,795167400.0
program_a12-c32-06,377574460.0
program_a2-c32-09,361509980.0
program_a5-c31-03,416880540.0
program_a9-c32-01,514490560.0
program_a22-c12-04,550627800.0
program_a9-c18-05,444080800.0
program_a11-c29-04,433300830.0
program_a5-c7-08,420625700.0
program_a21-c23-02,492611460.0
program_a12-c18-02,683952060.0
program_a3-c19-09,387717730.0
program_a8-c19-01,808176800.0
program_a4-c8-06,579405060.0
program_a23-c14-09,403267780.0
program_a24-c4-07,595824450.0
program_a24-c17-03,694995000.0
program_a13-c19-06,423901120.0
program_a20-c22-06,449319700.0
program_a14-c14-09,435201760.0
program_a13-c17-03,610161000.0
program_a3-c10-05,443380770.0
program_a24-c19-06,495892220.0
program_a17-c22-06,394773630.0
program_a7-c22-09,387797600.0
program_a4-c6-03,730693950.0
program_a4-c14-06,475821150.0
program_a8-c17-04,734310200.0
program_a10-c26-05,467492380.0
program_a18-c10-02,707499100.0
program_a11-c20-08,391482720.0
program_a9-c11-09,396840830.0
program_a16-c23-02,670535700.0
program_a6-c24-04,461741570.0
program_a12-c16-07,404551260.0
program_a2-c11-01,838300800.0
program_a2-c16-08,425854980.0
program_a1-c20-07,373534720.0
program_a11-c27-01,543421600.0
program_a19-c11-06,419938880.0
program_a13-c9-05,557325300.0
program_a5-c15-02,487559520.0
program_a15-c12-04,421927000.0
program_a20-c9-03,760234430.0
program_a16-c2-03,810685300.0
program_a24-c31-07,384324260.0
program_a3-c31-08,420351140.0
program_a21-c8-08,406275200.0
program_a4-c32-02,564516000.0
program_a17-c4-01,601870900.0
program_a17-c3-08,486160000.0
program_a1-c4-09,460207580.0
program_a13-c31-07,405366850.0
program_a9-c30-04,409806500.0
program_a9-c8-05,435556900.0
program_a20-c7-06,630676030.0
program_a12-c30-03,479933900.0
program_a11-c6-03,505192900.0
program_a18-c5-01,806790300.0
program_a18-c2-08,692321000.0
program_a20-c32-03,482404500.0
program_a6-c9-05,662300300.0
program_a10-c7-08,570957400.0
program_a1-c30-02,477745340.0
program_a19-c3-03,605836100.0
program_a10-c31-09,379279400.0
program_a17-c32-03,404548860.0
program_a11-c8-06,415677500.0
program_a14-c4-09,633027700.0
program_a23-c22-08,405289760.0
program_a2-c3-08,732845250.0
program_a8-c28-09,366620860.0
program_a10-c19-08,453721100.0
program_a24-c21-02,665436350.0
program_a20-c14-07,464161660.0
program_a3-c28-01,551779500.0
program_a23-c25-01,567750140.0
program_a2-c4-01,865078300.0
program_a18-c28-06,379562780.0
program_a2-c29-05,492875100.0
program_a21-c15-03,446078800.0
program_a19-c29-02,508153730.0
program_a1-c18-03,537052400.0
program_a22-c24-05,424738700.0
program_a2-c20-09,404015460.0
program_a19-c27-07,409719420.0
program_a9-c20-01,571795300.0
program_a3-c2-03,607021100.0
program_a1-c16-06,378494270.0
program_a15-c5-02,611613630.0
program_a15-c24-05,384140670.0
program_a5-c23-03,435868450.0
program_a9-c27-08,421977470.0
program_a11-c16-09,404455460.0
program_a6-c12-05,500951260.0
program_a16-c15-03,605573570.0
program_a12-c20-06,436399740.0
program_a7-c14-08,384833440.0
program_a14-c25-01,818142700.0
program_a4-c22-07,403735780.0
program_a18-c26-03,556172100.0
program_a10-c10-04,614079900.0
program_a8-c21-05,569656700.0
program_a14-c22-08,397839580.0
program_a3-c26-04,429008540.0
program_a22-c6-05,632865900.0
program_a13-c21-02,570315650.0
program_a7-c13-01,612721600.0
program_a17-c14-07,394299940.0
program_a1-c18-07,416684740.0
program_a19-c29-06,418729280.0
program_a22-c24-01,720741500.0
program_a2-c29-01,789741630.0
program_a21-c15-07,395510940.0
program_a11-c18-08,400143580.0
program_a9-c29-09,430600830.0
program_a22-c23-08,384804640.0
program_a14-c3-04,813394000.0
program_a23-c25-05,475603100.0
program_a2-c4-05,726467260.0
program_a18-c28-02,584277800.0
program_a20-c14-03,622131200.0
program_a22-c8-04,614174460.0
program_a3-c28-05,399689760.0
program_a24-c21-06,488006460.0
program_a17-c14-03,441356400.0
program_a7-c13-05,447868580.0
program_a13-c21-06,429702500.0
program_a22-c6-01,792696770.0
program_a10-c17-09,615372900.0
program_a8-c26-08,403597660.0
program_a8-c21-01,803450240.0
program_a18-c26-07,403528930.0
program_a4-c22-03,595086340.0
program_a14-c25-05,607138400.0
program_a3-c21-09,402056030.0
program_a12-c20-02,638745000.0
program_a2-c27-04,539591200.0
program_a16-c15-07,452366820.0
program_a6-c12-01,747350140.0
program_a15-c23-08,391083140.0
program_a15-c5-06,523125060.0
program_a5-c23-07,396118560.0
program_a15-c24-01,557000260.0
program_a1-c16-02,492923840.0
